Alsophilaceae C. Presl	Gefässbündel Farrn: 22 (footnote), 32. 1847.	
Alstroemeriaceae Dumort.	Anal. Fam. Pl.: 57, 58. 1829	nom. cons.
Altingiaceae Horan.	Osnov. Bot.: 271. 1841	nom. cons.
Alzateaceae S. A. Graham	in Ann. Missouri Bot. Gard. 71: 775. 19 Apr 1985.	
Amaranthaceae Juss.	Gen. Pl.: 87. 4 Aug 1789	nom. cons.
Amaryllidaceae J. St.-Hil.	Expos. Fam. Nat. 1: 134. Feb-Apr 1805	nom. cons.
Amborellaceae Pichon	in Bull. Mus. Hist. Nat. (Paris), ser. 2, 20: 384. 25 Oct 1948	nom. cons.
Ambrosiaceae Bercht. & J. Presl	Přir. Rostlin: 254. Jan-Apr 1820	nom. cons.
Amentotaxaceae Kudô & Yamam.	in Y. Kudô, J. Soc. Trop. Agric. 3: 110. 30 Jun 1931.	
Ammanniaceae Horan.	Prim. Lin. Syst. Nat.: 86. 2 Nov 1834.	
Ammiaceae Bercht. & J. Presl	Přir. Rostlin: 259. Jan-Apr 1820.	
Ampelopsidaceae Kostel.	Allg. Med.-Pharm. Fl.: 1194. Jan-Oct 1835.	
Amygdalaceae Marquis	Esq. Règne Vég.: 49. 15-22 Jul 1820	nom. cons.
Amyridaceae Kunth	in Ann. Sci. Nat. (Paris) 2: 353. Jul 1824.	
Anacardiaceae R. Br.	in J. H. Tuckey, Narr. Exped. Zaire: 431. 5 Mar 1818	nom. cons.
Anagallidaceae Batsch ex Borkh.	Bot. Wörterb. 1: 19. 1797.	
Anarthriaceae D. F. Cutler & Airy Shaw	in Kew Bull. 19: 489. 26 Jul 1965.	
Anchusaceae Vest	Anleit. Stud. Bot.: 274, 302. 1818.	
Ancistrocladaceae Planch. ex Walp.	in Ann. Bot. Syst. 2: 175. 15-16 Dec 1851	nom. cons.
Andromedaceae DC. ex Schnizl.	Iconogr. Fam. Regni Veg. 2: [iv], ad t. 161c. 1843-1870.	
Andropogonaceae Martinov	Tekhno-Bot. Slovar: 28. 3 Aug 1820.	
Androstachyaceae Airy Shaw	in Kew Bull. 18: 250. 8 Dec 1965.	
Androsynaceae Salisb.	Gen. Pl.: 61. 15-31 Mai 1866.	
Anemarrhenaceae Conran	M. W. Chase & Rudall in Kew Bull. 52: 995. Dec 1997.	
Anemiaceae Link	Fil. Spec.: 23. 3-10 Sep 1841.	
Anemonaceae Vest	Anleit. Stud. Bot.: 264, 275. 1818.	
Angelicaceae Martinov	Tekhno-Bot. Slovar: 29. 3 Aug 1820.	
Angiopteridaceae Fée ex J. Bommer	in Bull. Soc. Roy. Bot. Belgique 5: 345, 359. ante 28 Mai 1867.	
Anisophylleaceae Ridl.	Fl. Malay Penins. 1: 700. 13-22 Jul 1922.	
Annonaceae Juss.	Gen. Pl.: 283. 4 Aug 1789	nom. cons.
Anomochloaceae Nakai	Chosakuronbun Mokuroku [Ord. Fam. Trib. Nov.]: 222. 20 Jul 1943.	
Anopteraceae Doweld	Tent. Syst. Pl. Vasc.: li. 23 Dec 2001.	
Anrederaceae J. Agardh	Theoria Syst. Pl.: 357. Apr-Sep 1858.	
Anthemidaceae Bercht. & J. Presl	Přir. Rostlin: 254. Jan-Apr 1820.	
Anthericaceae J. Agardh	Theoria Syst. Pl.: 27. Apr-Sep 1858.	
Anthobolaceae Dumort.	Anal. Fam. Pl.: 15, 17. 1829.	
Anthoxanthaceae Link	Hort. Berol. 1: 271. 1 Oct-27 Nov 1827.	
Antidesmataceae Loudon	Hort. Brit.: 534. 30 Aug 1830.	
Antirrhinaceae Pers.	Syn. Pl. 2: 154, 640. Sep 1807.	
Antoniaceae Hutch.	Fam. Fl. Pl., ed. 2: 375. 4 Jun 1959.	
Antrophyaceae Ching	in Acta Phytotax. Sin. 16(3): 11. Aug 1978.	
Aparinaceae Hoffmanns. & Link	Fl. Portug. 2: 3, 38. 1813-1829.	
Aphanopetalaceae Doweld	Tent. Syst. Pl. Vasc.: xxvii. 23 Dec 2001.	
Aphloiaceae Takht.	in Bot. Zhurn. (Moscow & Leningrad) 70: 1691. 13 Dec 1985.	
Aphyllanthaceae Burnett	Outl. Bot.: 421, 1153. Feb 1835.	
Apiaceae Lindl.	Nat. Syst. Bot., ed. 2: 21. 13 Jun 1836	nom. cons., nom. alt.: Umbelliferae.
Apocynaceae Juss.	Gen. Pl.: 143. 4 Aug 1789	nom. cons.
Apodanthaceae Tiegh. ex Takht.	Sist. Magnoliof. [Syst. Magnolioph.]: 42. 24 Jun 1987.	
Aponogetonaceae Planch.	in Bot. Mag. 82: ad. t. 4894. 1 Jan 1856	nom. cons.
Aporosaceae Lindl. ex Planch.	in Ann. Sci. Nat. Bot., sér. 4, 2: 265. 1854.	
Aposeridaceae Raf.	New Fl. N. Amer. 4: 106. med. 1838.	
Apostasiaceae Lindl.	Nix. Pl.: 22. 17 Sep 1833	nom. cons.
Aptandraceae Miers	in J. Lindley, Veg. Kingd., ed. 3: 447a. 30 Jul-15 Aug 1853.	
Aquifoliaceae Bercht. & J. Presl	Prir. Rostlin: 2(110): 438, 440. 1825	nom. cons.
Aquilariaceae R. Br. ex DC.	Prodr. 2: 59. Nov 1825.	
Aquilegiaceae Lilja	Skåneskfl., ed. 2: 375, 861, 979. Apr-Dec 1870.	
Arabidaceae Döll	Rhein. Fl.: 573. 24-27 Mai 1843.	
Araceae Juss.	Gen. Pl.: 23. 4 Aug 1789	nom. cons.
Araliaceae Juss.	Gen. Pl.: 217. 4 Aug 1789	nom. cons.
Aralidiaceae Philipson & B. C. Stone	in Taxon 29: 402. 25 Aug 1980.	
Araucariaceae Henkel & W. Hochst.	Syn. Nadelhölz.: xvii, 1. Jan 1865	nom. cons.
Arbutaceae Miers	in Bromhead, Mag. Nat. Hist., n.s., 4: 337, 338. Jul 1840.	
Arceuthobiaceae Tiegh.	in Bot. Jahresber. (Just) 23(2): 290. Oct-Dec 1897.	
Arctostaphylaceae J. Agardh	Theoria Syst. Pl.: 106. Apr-Sep 1858.	
Arctotidaceae Bercht. & J. Presl	Přir. Rostlin: 255. Jan-Apr 1820.	
Ardisiaceae Juss.	in Ann. Mus. Natl. Hist. Nat. 15: 350. 1810.	
Arecaceae Bercht. & J. Presl	Přir. Rostlin: 266. Jan-Apr 1820	nom. cons., nom. alt.: Palmae.
Argophyllaceae Takht.	Sist. Magnoliof. [Syst. Magnolioph.]: 208. 24 Jun 1987.	
Arisaraceae Raf.	Fl. Tellur. 4: 16. med. 1838.	
Aristolochiaceae Juss.	Gen. Pl.: 72. 4 Aug 1789	nom. cons.
Aristoteliaceae Dumort.	Anal. Fam. Pl.: 37, 41. 1829.	
Arjonaceae Tiegh.	in Bot. Jahresber. (Just) 24(2): 279. 1898.	
Armeriaceae Horan.	Prim. Lin. Syst. Nat.: 68. 2 Nov 1834.	
Artemisiaceae Martinov	Tekhno-Bot. Slovar: 48. 3 Aug 1820.	
Artocarpaceae Bercht. & J. Presl	Přir. Rostlin: 260. Jan-Apr 1820.	
Arundinaceae Döll	Rhein. Fl.: 60. 24-27 Mai 1843.	
Arundinellaceae Stapf	in Herter in Revista Sudamer. Bot. 6: 136. Jun 1940.	
Asaraceae Vent.	Tabl. Règne Vég. 2: 226. 5 Mai 1799.	
Asclepiadaceae Borkh.	Bot. Wörterb. 1: 31. 1797	nom. cons.
Ascyraceae Plenck	Elem. Termin. Bot.: 162. 1796.	
Aspalathaceae Martinov	Tekhno-Bot. Slovar: 51. 3 Aug 1820.	
Asparagaceae Juss.	Gen. Pl.: 40. 4 Aug 1789	nom. cons.
Asperellaceae Link	Hort. Berol. 1: 106, 270. 1 Oct-27 Nov 1827.	
Asperulaceae Cham. ex Spenn.	Handb. Angew. Bot. 2: 492. 1835.	
Asphodelaceae Juss.	Gen. Pl.: 51. 4 Aug 1789.	
Aspidistraceae Hassk.	Cat. Hort. Bot. Bogor.: 32. Oct. 1844.	
Aspleniaceae Newman	Hist. Brit. Ferns: 6. 1-5 Feb 1840.	
Asteliaceae Dumort.	Anal. Fam. Pl.: 59, 61. 1829.	
Asteraceae Bercht. & J. Presl	Přir. Rostlin: 254. Jan-Apr 1820	nom. cons., nom. alt.: Compositae.
Asteranthaceae R. Knuth	in H. G. A. Engler & K. A. E. Prantl, Pflanzenr. IV, 219b (Heft 105): 1. 22 Aug 1939	nom. cons.
Asteropeiaceae Takht. ex Reveal & Hoogland	in Bull. Mus. Natl. Hist. Nat., ser. 4, sect. B Adansonia 12: 205. 24 Nov 1990.	
Astragalaceae Bercht. & J. Presl	Přir. Rostlin: 229. Jan-Apr 1820.	
Astrocarpaceae A. Kern.	Pflanzenleben 2: 688. 6-13 Jun 1891.	
Athanasiaceae Martinov	Tekhno-Bot. Slovar: 56. 3 Aug 1820.	
Atherospermataceae R. Br.	in M. Flinders, Voy. Terra Austral. 2: 553. 19 Jul 1814.	
Athrotaxidaceae Doweld	Tent. Syst. Pl. Vasc.: xix. 23 Dec 2001.	
Athyriaceae Alston	in Taxon 5: 25. 25 Mar 1956.	
Atriplicaceae Juss.	Gen. Pl.: 83. 4 Aug 1789.	
Atropaceae Martinov	Tekhno-Bot. Slovar: 57. 3 Aug 1820.	
Aucubaceae Bercht. & J. Presl	Přir. Rostlin: 2: 91. 1825.	
Aurantiaceae Juss.	Gen. Pl.: 259. 4 Aug 1789.	
Austrobaileyaceae Croizat	in Cact. Succ. J. (Los Angeles) 15: 64. Mai 1943	nom. cons.
Austrotaxaceae Nakai	in Tyosen-Sanrin 158: 14. 10 Mai 1938.	
Avenaceae Martinov	Tekhno-Bot. Slovar: 60. 31 Jul-5 Aug 1820.	
Averrhoaceae Hutch.	Fam. Fl. Pl., ed. 2: 356. 4 Jun 1959.	
Avetraceae Takht.	Divers. Classif. Fl.: 524. 24 Apr 1997.	
Avicenniaceae Miq.	in J.G.C. Lehmann, Pl. Preiss. 1: 353. 14-16 Aug 1845	nom. cons.
Azaleaceae Vest	Anleit. Stud. Bot.: 272, 294. 1818.	
Azollaceae Wettst.	Handb. Syst. Bot. 2: 77. Nov 1903.	
Baeckeaceae Bercht. & J. Presl	Přir. Rostlin: 233. Jan-Apr 1820.	
Balanitaceae M. Roem.	Fam. Nat. Syn. Monogr. 1: 26. 14 Sep-15 Oct 1846	nom. cons.
Balanopaceae Benth. & Hook.f.	Gen. Pl. 3: v, 341. 7 Feb 1880	nom. cons.
Balanophoraceae Rich.	in Mém. Mus. Hist. Nat. 8: 429. 18 Nov 1822	nom. cons.
Balsameaceae Dumort.	Anal. Fam. Pl.: 36, 41. 1829.	
Balsaminaceae A. Rich.	in J. B. G. M. Bory de Saint-Vincent, Dict. Class. Hist. Nat. 2: 173. 31 Dec 1822	nom. cons.
Bambusaceae Bercht. & J. Presl	Přir. Rostlin: 265. Jan-Apr 1820.	
Banksiaceae Bercht. & J. Presl	Přir. Rostlin: 235. Jan-Apr 1820.	
Barbaceniaceae Arn.	in Encycl. Brit., ed. 7: 134. 9 Mar 1832.	
Barbeuiaceae Nakai	in J. Jap. Bot. 18: 105. 10 Mar 1942.	
Barbeyaceae Rendle	in D. Oliver (ed. D. Prain), Fl. Trop. Afr. 6(2): 14. Mar 1916	nom. cons.
Barclayaceae H. L. Li	in Amer. Midl. Naturalist 54: 40. 27 Aug 1955.	
Barringtoniaceae F. Rudolphi	Syst. Orb. Veg.: 56. 5-12 Jul 1830	nom. cons.
Basellaceae Raf.	Fl. Tellur. 3: 44. Nov-Dec 1837	nom. cons.
Bataceae Mart. ex Perleb	Clav. Class.: 17. Jan-Mar 1838	nom. cons.
Baueraceae Lindl.	Intr. Nat. Syst. Bot.: 50. 27 Sep 1830.	
Bauhiniaceae Martinov	Tekhno-Bot. Slovar: 67. 3 Aug 1820.	
Baxteriaceae Takht.	in Bot. Zhurn. (Moscow & Leningrad) 81(2): 85. Mai-Jun 1996.	
Begoniaceae C. Agardh	Aphor. Bot.: 200. 13 Jun 1824	nom. cons.
Behniaceae Conran	M. W. Chase & Rudall in Kew Bull. 52: 996. Dec 1997.	
Belangeraceae J. Agardh	Theoria Syst. Pl.: 337. Apr-Sep 1858.	
Belloniaceae Martinov	Teknno-Bot. Slovar: 67. 1820.	
Bembiciaceae R. C. Keating & Takht.	in Bot. Zhurn. (Moscow & Leningrad) 81(2): 85. 1996.	
Berberidaceae Juss.	Gen. Pl.: 286. 4 Aug 1789	nom. cons.
Berberidopsidaceae Takht.	in Bot. Zhurn. (Moscow & Leningrad) 70: 1691. 13 Dec 1985.	
Berryaceae Doweld	Tent. Syst. Pl. Vasc.: xxxvii. 23 Dec 2001.	
Bersamaceae Doweld	Pl. Syst. Evol. 227: 83. 7 Mai 2001.	
Bertyaceae J. Agardh	Theoria Syst. Pl.: 190. Apr-Sep 1858.	
Berzeliaceae Nakai	Chosakuronbun Mokuroku [Ord. Fam. Trib. Nov.]: 241. 20 Jul 1943.	
Besleriaceae Raf.	Sylva Tellur.: 70. Oct-Dec 1838.	
Betaceae Burnett	Outl. Bot.: 591, 1091, 1142. Feb 1835.	
Betulaceae Gray	Nat. Arr. Brit. Pl. 2: 222, 243. 10 Jan 1822	nom. cons.
Biebersteiniaceae Schnizl.	Anal. Nat. Ordn. Gew.: 14. 1856.	
Bifariaceae Nakai	in Bull. Natl. Sci. Mus. Tokyo 31: 46. Mar 1952.	
Bignoniaceae Juss.	Gen. Pl.: 137. 4 Aug 1789	nom. cons.
Bischofiaceae Airy Shaw	in Kew Bull. 18: 252. 8 Dec 1965.	
Bixaceae Kunth	Malvac., Büttner., Tiliac.: 17. 20 Apr 1822	nom. cons.
Blakeaceae Rchb. ex Barnhart	in Bull. Torrey Bot. Club 22: 19. 15 Jan 1895.	
Blandfordiaceae R. Dahlgren & Clifford	in R. Dahlgren & al., Fam. Monocot.: 155. 1985.	
Blattiaceae Engl.	Syllabus: 156. Apr 1892.	
Blechnaceae Newman	Hist. Brit. Ferns, ed. 2: 8. 1844.	
Blepharocaryaceae Airy Shaw	in Kew Bull. 18: 254. 8 Dec 1965.	
Blitaceae Post & Kuntze	Lex. Gen. Phan.: 637, 710. 20-30 Nov 1903.	
Blyxaceae Nakai	in J. Jap. Bot. 24: 14. Dec 1949.	
Boerlagellaceae H. J. Lam	in Bull. Jard. Bot. Buitenzorg, ser. 3, 7: 250. Feb 1925.	
Bolbitidaceae Ching	in Acta Phytotax. Sin. 16(3): 15. Aug 1978.	
Bolivariaceae Griseb.	Gen. Sp. Gent.: 20. Oct 1838.	
Bombacaceae Kunth	Malvac., Büttner., Tiliac.: 5. 20 Apr 1822	nom. cons.
Bonnetiaceae L. Beauvis. ex Nakai	in Bull. Natl. Sci. Mus. Tokyo 22: 25. 1948.	
Bontiaceae Horan.	Prim. Lin. Syst. Nat.: 77. 2 Nov 1834.	
Boopidaceae Cass.	in Bull. Sci. Soc. Philom. Paris 1816: 160. 12 Oct 1816.	
Boraginaceae Juss.	Gen. Pl.: 128. 4 Aug 1789	nom. cons.
Borassaceae Schultz Sch.	Nat. Syst. Pflanzenr.: 318. 30 Jan-10 Feb 1832.	
Boroniaceae J. Agardh	Theoria Syst. Pl.: 229. Apr-Sep 1858.	
Boryaceae M. W. Chase	Rudall & Conran in Kew Bull. 52: 416. Jul 1997.	
Botrychiaceae Horan.	Char. Ess. Fam.: 15. 30 Jun 1847.	
Botryodendraceae J. Agardh	Theoria Syst. Pl.: 231. Apr-Sep 1858.	
Bougainvilleaceae J. Agardh	Theoria Syst. Pl.: 364. Apr-Sep 1858.	
Boweniaceae D. W. Stev.	in Amer. J. Bot. 68: 1114. 11 Sep 1981.	
Brachycaulaceae Panigrahi & Dikshit	in Panigrahi, Proc. 90th Indian Sci. Congr. Part III (Advance Abstr.): 54. 2003.	
Bracteocarpaceae Melikian & A. V. Bobrov	in Bot. Zhurn. (Moscow & Leningrad) 85(7): 60. 1 Sep 2000.	
Brassicaceae Burnett	Outl. Bot.: 854, 1093, 1123. Feb 1835	nom. cons., nom. alt.: Cruciferae.
Bretschneideraceae Engl. & Gilg	Syllabus, ed. 9-10: 218. 6 Nov 1924	nom. cons.
Brexiaceae Loudon	Hort. Brit.: 524. 30 Aug 1830.	
Bromaceae Bercht. & J. Presl	Přir. Rostlin: 264. Jan-Apr 1820.	
Bromeliaceae Juss.	Gen. Pl.: 49. 4 Aug 1789	nom. cons.
Browalliaceae Bercht. & J. Presl	Přir. Rostlin: 243. Jan-Apr 1820.	
Brownlowiaceae Cheek	Kew Bull. 61: 443. 8 Dec 2006.	
Brunelliaceae Engl.	in H. G. A. Engler & K. A. E. Prantl, Nat. Pflanzenfam. Nachtr. 1: 182. Aug 1897	nom. cons.
Bruniaceae R. Br. ex DC.	Prodr. 2: 43. Nov 1825	nom. cons.
Brunoniaceae Dumort.	Anal. Fam. Pl.: 19, 21. 1829	nom. cons.
Brunsvigiaceae Horan.	Prim. Lin. Syst. Nat.: 51. 2 Nov 1834.	
Bryoniaceae G. Mey.	Chloris Han.: 6, 112. Jul-Aug 1836.	
Buchneraceae Lilja	Skånes Fl., ed. 2: 979. Apr-Dec 1870.	
Bucidaceae Spreng.	Syst. Veg. 2: 282. Jan-Mar 1825.	
Buddlejaceae K. Wilh.	Samenpflanzen: 90. Oct 1910	nom. cons.
Buglossaceae Hoffmanns. & Link	Fl. Portug. 1: 63. 1 Sep 1809.	
Bulbocodiaceae Salisb.	Gen. Pl.: 52. 15-31 Mai 1866.	
Bumeliaceae Barnhart	in Bull. Torrey Bot. Club 22: 21. 15 Jan 1895.	
Bupleuraceae Bercht. & J. Presl	Přir. Rostlin: 258. Jan-Apr 1820.	
Burchardiaceae Takht.	in Bot. Zhurn. (Moscow & Leningrad) 81(2): 85. Mai-Jun 1996.	
Burmanniaceae Blume	Enum. Pl. Javae: 27. Oct-Dec 1827	nom. cons.
Burseraceae Kunth	in Ann. Sci. Nat. (Paris) 2: 346. Jul 1824	nom. cons.
Butomaceae Mirb.	Hist. Nat. Pl. 8: 194. 1804	nom. cons.
Buxaceae Dumort.	Comment. Bot.: 54. Nov-Dec 1822	nom. cons.
Byblidaceae Domin	in Acta Bot. Bohem. 1: 3. 1922	nom. cons.
Byttneriaceae R. Br.	in M. Flinders, Voy. Terra Austral. 2: 540. 19 Jul 1814	nom. cons.
Cabombaceae Rich. ex A. Rich.	in J. B. G. M. Bory de Saint-Vincent, Dict. Class. Hist. Nat. 2: 608. 31 Dec 1822	nom. cons.
Cactaceae Juss.	Gen. Pl.: 310. 4 Aug 1789	nom. cons.
Caesalpiniaceae R. Br.	in M. Flinders, Voy. Terra Austral. 2: 551. 19 Jul 1814	nom. cons.
Caladiaceae Salisb.	Gen. Pl.: 5. 15-31 Mai 1866.	
Calamaceae Kunth ex Perleb	Clav. Class.: 13. Jan-Mar 1838.	
Calceolariaceae Olmstead	in Amer. J. Bot. 88: 357. 23 Feb 2001.	
Calectasiaceae Schnizl.	Icongr. Fam. Regn. Veg. 1: 51******. Jan-Jul 1845.	
Calendulaceae Bercht. & J. Presl	Přir. Rostlin: 254. Jan-Apr 1820.	
Callaceae Rchb. ex Bartl.	Ord. Nat. Pl.: 25, 66. Sep 1830.	
Callicomaceae J. Agardh	Theoria Syst. Pl.: 146. Apr-Sep 1858.	
Calligonaceae Khalk.	in Dokl. Akad. Nauk. Uzbeksk. SSR 1985(11): 45. Nov 1985.	
Callitraceae Seward	Fossil Pl. 4: 124, 151, 336. Jul-Oct 1919.	
Callitrichaceae Link	Enum. Hort. Berol. Alt. 1: 7. 16 Mar-30 Jun 1821	nom. cons.
Calochortaceae Dumort.	Anal. Fam. Pl.: 53. 1829.	
Calophyllaceae J. Agardh	Theoria Syst. Pl.: 121. Apr-Sep 1858.	
Calthaceae Martinov	Tekhno-Bot. Slovar: 92. 3 Aug 1820.	
Calycanthaceae Lindl.	in Bot. Reg. 5: ad t. 404. 1 Oct 1819	nom. cons.
Calyceraceae R. Br. ex Rich.	in Mém. Mus. Hist. Nat. 6: 74. Nov 1820	nom. cons.
Cambogiaceae Horan.	Prim. Lin. Syst. Nat.: 98. 2 Nov 1834.	
Camelliaceae Mirb.	in A.P. de Candolle, Essai Propr. Méd. Pl., ed. 2: 97. 11 Mai 1816.	
Campanulaceae Juss.	Gen. Pl.: 163. 4 Aug 1789	nom. cons.
Campynemataceae Dumort.	Anal. Fam. Pl.: 57, 58. 1829.	
Canacomyricaceae Baum.-Bod. ex Doweld	in Byull. Mosk. Obshch. Ispyt. Prir., Biol. 105(5): 59. 9 Oct 2000.	
Canellaceae Mart.	Nov. Gen. Sp. Pl. 3: 168, 170. Sep 1832	nom. cons.
Cannabaceae Martinov	Tekhno-Bot. Slovar: 99. 3 Aug 1820.	
Cannaceae Juss.	Gen. Pl.: 62. 4 Aug 1789	nom. cons.
Canopodaceae C. Presl	[Epimel. Bot.: 248] in Abh. Königl. Böhm. Ges. Wiss., ser. 5, 6: 608. ante Oct 1851.	
Canotiaceae Airy Shaw	in Kew Bull. 18: 255. 8 Dec 1965.	
Cansjeraceae J. Agardh	Theoria Syst. Pl.: 238. Apr-Sep 1858.	
Capparaceae Juss.	Gen. Pl.: 242. 4 Aug 1789	nom. cons.
Caprariaceae Martinov	Tekhno-Bot. Slovar: 102. 3 Aug 1820.	
Caprifoliaceae Juss.	Gen. Pl.: 210. 4 Aug 1789	nom. cons.
Cardiopteridaceae Blume	Rumphia 3: 205. Jun 1847	nom. cons.
Carduaceae Bercht. & J. Presl	Přir. Rostlin: 255. Jan-Apr 1820.	
Caricaceae Dumort.	Anal. Fam. Pl.: 37, 42. 1829	nom. cons.
Carissaceae Bertol.	in Nuevo Giorn. Bot. Ital. 23: 212. 8 Jan 1891.	
Carlemanniaceae Airy Shaw	in Kew Bull. 19: 511. 26 Jul 1965.	
Carlinaceae Bercht. & J. Presl	Přir. Rostlin: 255. Jan-Apr 1820.	
Carpinaceae Vest	Anleit. Stud. Bot.: 265, 280. 1818.	
Carpodetaceae Fenzl	in Denkschr. Königl.-Baier. Bot. Ges. Regensburg 3: 155. 28 Nov 1841.	
Cartonemataceae Pichon	in Notul. Syst. (Paris) 12: 219. Feb 1946	nom. cons.
Caryocaraceae Voigt	Hort. Suburb. Calcutt.: 88. Aug-Dec 1845	nom. cons.
Caryophyllaceae Juss.	Gen. Pl.: 299. 4 Aug 1789	nom. cons.
Caseariaceae Doweld	New Syllabus Pl. Fam.: 693. Apr 2007.	
Cassiaceae Vest	Anleit. Stud. Bot.: 270, 291. 1818.	
